tabu => if ((frx >= fmin && vcx > vmin) || (frx > fmin && vcx >= vmin)) {
hiperplanos descent => seq-vns
commit:
----------------------------------------------------------.
Numero Intentos:100
NPI: Numero iteraciones promedio.
TP: Tiempo Promedio.
TE: Tasa de exito.
DPR: Desviación porcentual relativa.
----------------------------------------------------------.
NOMBRE              |FUNCION             |ALGORITMO                     |DIMENSION |NPI     |TE      |MEJOR OPTIMO  |PROM OPTIMOS|DPR     |TP        |EVALUACIONES   

#====================================================================================================|18558.0

jeu_100_25_1.txt    |Cuadratica          |IHEAIHEA_M                    | 100      |75,00   |1,000000|18558,00      |18558,00    |0,000000|3986,00   |0,000000       
jeu_100_25_1.txt    |Cuadratica          |IHEAIHEA_A                    | 100      |75,00   |0,990000|18558,00      |18557,90    |0,000539|3323,00   |0,000000       
jeu_100_25_1.txt    |FJSGVNS             |JSGVNS-Int[20]                | 100      |20,00   |0,390000|18558,00      |18543,61    |0,077541|3087,00   |0,000000       


#====================================================================================================|56525.0

jeu_100_25_2.txt    |Cuadratica          |IHEAIHEA_M                    | 100      |75,00   |1,000000|56525,00      |56525,00    |0,000000|2393,00   |0,000000       
jeu_100_25_2.txt    |Cuadratica          |IHEAIHEA_A                    | 100      |75,00   |1,000000|56525,00      |56525,00    |0,000000|1497,00   |0,000000       
jeu_100_25_2.txt    |FJSGVNS             |JSGVNS-Int[20]                | 100      |20,00   |1,000000|56525,00      |56525,00    |0,000000|4220,00   |0,000000       


#====================================================================================================|3752.0

jeu_100_25_3.txt    |Cuadratica          |IHEAIHEA_M                    | 100      |75,00   |0,960000|3752,00       |3750,60     |0,037313|2875,00   |0,000000       
jeu_100_25_3.txt    |Cuadratica          |IHEAIHEA_A                    | 100      |75,00   |1,000000|3752,00       |3752,00     |0,000000|2387,00   |0,000000       
jeu_100_25_3.txt    |FJSGVNS             |JSGVNS-Int[20]                | 100      |20,00   |0,420000|3752,00       |3726,86     |0,670043|1886,00   |0,000000       


#====================================================================================================|50382.0

jeu_100_25_4.txt    |Cuadratica          |IHEAIHEA_M                    | 100      |75,00   |1,000000|50382,00      |50382,00    |0,000000|2525,00   |0,000000       
