----------------------------------------------------------.
Numero Intentos:5
NPI: Numero iteraciones promedio.
TP: Tiempo Promedio.
TE: Tasa de exito.
DPR: Desviación porcentual relativa.
----------------------------------------------------------.
NOMBRE              |FUNCION             |ALGORITMO                     |DIMENSION |NPI     |TE      |MEJOR OPTIMO  |PROM OPTIMOS|DPR     |TP        |EVALUACIONES   

#====================================================================================================|972880.0

jeu_300_50_14.txt   |Cuadratica          |IHEAIHEA_M                    | 300      |82,00   |1,000000|972880,00     |972880,00   |0,000000|5656,00   |0,000000       
jeu_300_50_14.txt   |Cuadratica          |IHEAIHEA_A                    | 300      |82,00   |1,000000|972880,00     |972880,00   |0,000000|3846,00   |0,000000       
jeu_300_50_14.txt   |FJSGVNS             |JSGVNS-Int[20]                | 300      |20,00   |0,400000|972880,00     |972857,00   |0,002364|13114,00  |0,000000       


#====================================================================================================|383377.0

jeu_300_25_10.txt   |Cuadratica          |IHEAIHEA_M                    | 300      |82,00   |1,000000|383377,00     |383377,00   |0,000000|5486,00   |0,000000       
jeu_300_25_10.txt   |Cuadratica          |IHEAIHEA_A                    | 300      |82,00   |1,000000|383377,00     |383377,00   |0,000000|3716,00   |0,000000       
jeu_300_25_10.txt   |FJSGVNS             |JSGVNS-Int[20]                | 300      |20,00   |0,000000|383160,00     |383092,00   |0,074339|5072,00   |0,000000       


#====================================================================================================|228681.0

jeu_300_25_11.txt   |Cuadratica          |IHEAIHEA_M                    | 300      |82,00   |1,000000|228681,00     |228681,00   |0,000000|6011,00   |0,000000       
jeu_300_25_11.txt   |Cuadratica          |IHEAIHEA_A                    | 300      |82,00   |1,000000|228681,00     |228681,00   |0,000000|5252,00   |0,000000       
jeu_300_25_11.txt   |FJSGVNS             |JSGVNS-Int[20]                | 300      |1,000000|1,000000|228681,00     |228681,00   |0,000000|229,00    |0,000000       


#====================================================================================================|392829.0

jeu_300_25_12.txt   |Cuadratica          |IHEAIHEA_M                    | 300      |82,00   |1,000000|392829,00     |392829,00   |0,000000|5295,00   |0,000000       
jeu_300_25_12.txt   |Cuadratica          |IHEAIHEA_A                    | 300      |82,00   |1,000000|392829,00     |392829,00   |0,000000|3582,00   |0,000000       
jeu_300_25_12.txt   |FJSGVNS             |JSGVNS-Int[20]                | 300      |20,00   |0,000000|392745,00     |392547,80   |0,071583|4684,00   |0,000000       


#====================================================================================================|395598.0

jeu_300_25_13.txt   |Cuadratica          |IHEAIHEA_M                    | 300      |82,00   |0,800000|395598,00     |395587,60   |0,002629|5958,00   |0,000000       
jeu_300_25_13.txt   |Cuadratica          |IHEAIHEA_A                    | 300      |82,00   |0,800000|395598,00     |395568,60   |0,007432|4779,00   |0,000000       
jeu_300_25_13.txt   |FJSGVNS             |JSGVNS-Int[20]                | 300      |20,00   |0,000000|395340,00     |395164,40   |0,109606|4650,00   |0,000000       


#====================================================================================================|462104.0

jeu_300_25_14.txt   |Cuadratica          |IHEAIHEA_M                    | 300      |82,00   |0,000000|462088,00     |461968,80   |0,029257|5821,00   |0,000000       
jeu_300_25_14.txt   |Cuadratica          |IHEAIHEA_A                    | 300      |82,00   |1,000000|462104,00     |462104,00   |0,000000|4374,00   |0,000000       
jeu_300_25_14.txt   |FJSGVNS             |JSGVNS-Int[20]                | 300      |20,00   |0,000000|462088,00     |462027,60   |0,016533|5538,00   |0,000000       


#====================================================================================================|24516.0

jeu_300_25_15.txt   |Cuadratica          |IHEAIHEA_M                    | 300      |82,00   |1,000000|24516,00      |24516,00    |0,000000|5448,00   |0,000000       
jeu_300_25_15.txt   |Cuadratica          |IHEAIHEA_A                    | 300      |82,00   |1,000000|24516,00      |24516,00    |0,000000|4090,00   |0,000000       
jeu_300_25_15.txt   |FJSGVNS             |JSGVNS-Int[20]                | 300      |20,00   |0,000000|24459,00      |24363,80    |0,620819|2578,00   |0,000000       


#====================================================================================================|60063.0

jeu_300_25_16.txt   |Cuadratica          |IHEAIHEA_M                    | 300      |82,00   |1,000000|60063,00      |60063,00    |0,000000|5734,00   |0,000000       
jeu_300_25_16.txt   |Cuadratica          |IHEAIHEA_A                    | 300      |82,00   |0,800000|60063,00      |60062,00    |0,001665|5086,00   |0,000000       
jeu_300_25_16.txt   |FJSGVNS             |JSGVNS-Int[20]                | 300      |20,00   |0,200000|60063,00      |59893,60    |0,282037|3045,00   |0,000000       


#====================================================================================================|431225.0

